0,Emri,EmriTregtar,NrIBiznesit,Sektori,LlojiIbiznesit,Komuna,Popullsia2020,Data,NumriIpunetoreve,%astotalGDP(10 max),%assectorGDP(10 max),UljeApoNgritje
33,BISTRO SOFRA & PIZZERIA SH.P.K.,BISTRO SOFRA & PIZZERIA,811566415,Restaurante dhe aktivitete sherbyese,Biznes individual,Vushtrri,"73,207",23-10-2020,32,-4.89,-4.74,0
34,Enigma Online SH.P.K.,Enigma Online,811564063,Agjensione lajmesh,Biznes individual,Gjilan,"93,450",30-10-2020,21,1.43,1.3,0
35,Qendra Diagnostike Terapeutike MEDIVERSAL SH.P.K.,///,811431379,Stomatologji,Biznes individual,Gjakove,"98,476",15-09-2020,5,-3.04,-2.98,0
36,FitnessZone Center SH.P.K.,///,811408774,Palestra e fitnesit,Biznes individual,Ferizaj,"108,610",26-10-2020,6,-5.32,-3.5,0
37,Metush Thaqi B.I.,VÃLLÃZRIT THAQI 3,811344069,Transporti urbane,Biznes individual,Gllogoc,"60,970",15-09-2020,18,-2.12,-2.12,0
38,Imperium Medical Clinic L.L.C.,Imperium Medical Clinic,811563859,Stomatologji,Biznes individual,Prishtine,"208,230",28-10-2020,5,-2.56,-2.98,0
39,Discont i Pijeve FESTIMI SH.P.K.,///,811441518,Tregti e pijeve,Biznes individual,Mitrovice,"75,502",15-09-2020,38,-0.98,-1.03,0
40,STAR MIX SH.P.K.,///,811460716,Prodhimi i barnave,Biznes individual,Ferizaj,"108,610",26-10-2020,31,5.72,6.53,0
41,Afrim Gerbeshi B.I.,DRIMARI,811511030,Porodhimi me shumice,Biznes individual,Novoberde,"7,172",15-09-2020,24,-3.04,-3.21,0
42,POLIKLINIKA UROPRE SH.P.K.,POLIKLINIKA UROPRE,811552901,Aktivitete spitalore,Biznes individual,Prishtine,"208,230",15-09-2020,27,5.64,6.28,0
43,Ardit A. Krasniqi B.I.,Restaurant Bjeshka,811496985,Restaurante dhe aktivitete sherbyese,Biznes individual,Rahovec,"59,308",26-10-2020,32,-3.02,-4.74,0
44,EUROMIX 2018 SH.P.K.,///,810172156,Agrikultura,Biznes individual,Kacanik,"34,396",26-10-2020,6,-0.05,-0.05,0
45,V I Baja e DoberÃ§anit SH.P.K.,V I Baja e DoberÃ§anit,811402875,Hotele dhe akomodimi,Biznes individual,Gjilan,"93,450",27-10-2020,7,-3.32,-3.15,0
46,Arlinda Murtezi B.I.,///,811315060,Porodhimi me shumice,Biznes individual,Fushe Kosove,"38,944",23-10-2020,21,-3.31,-3.21,0
47,Kimete Shaqiri B.I.,///,811119959,Agrikultura,Biznes individual,Vushtrri,"73,207",30-10-2020,21,-0.4,-0.05,0
48,Beqir Tahiri B.I.,Auto Taxi Beqir Tahiri,811555129,Transporti urbane,Biznes individual,Mitrovice,"75,502",26-10-2020,15,-1.98,-2.12,0
49,Kemajl Berisha B.I.,"N.SH. "" CARROT MEDIA & COMMUNICATIONS """,810944084,Agjensione lajmesh,Biznes individual,Prishtine,"208,230",23-10-2020,8,1.1,1.3,0
50,Naser BaÃ§ki B.I.,TREGTIA LÃVIZÃSE NASER BAÃKI,811214593,Tekstil,Biznes individual,Gjilan,"93,450",28-10-2020,10,-2.05,-2.14,0
51,SMASH & BISTRO SH.P.K.,SMASH & BISTRO,811504291,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",28-10-2020,10,-2.44,-4.74,0
52,NEW POLLSON 2 SH.P.K.,NEW POLLSON 2,811550020,Restaurante dhe aktivitete sherbyese,Biznes individual,Fushe Kosove,"38,944",15-09-2020,25,-1.98,-4.74,0
53,Villat Artana SH.P.K.,Villat Artana,811440974,Hotele dhe akomodimi,Biznes individual,Novoberde,"7,172",28-10-2020,7,-4.54,-3.15,0
54,VICTORY 1999 SH.P.K.,"Ndermarja Sherbyese "" E - Victory """,811564881,Transporti urbane,Biznes individual,Prishtine,"208,230",27-10-2020,19,-2.23,-2.12,0
55,Leart Muja B.I.,STANET E STRUZHÃS,811563479,Restaurante dhe aktivitete sherbyese,Biznes individual,Prizren,"186,375",27-10-2020,23,-5.08,-4.74,0
56,HANLAND SH.P.K.,HANLAND,811562596,Hotele dhe akomodimi,Biznes individual,Peje,"99,921",27-10-2020,18,-4.54,-3.15,0
57,Vitomir JokiÄ I.B.,Motel Izvor,811319111,Hotele dhe akomodimi,Biznes individual,Zvecan,"7,394",15-09-2020,14,-3.21,-3.15,0
58,Sallon Nuserie HQ SH.P.K.,Sallon Nuserie HQ SHPK,811412519,Porodhimi me shumice,Biznes individual,Prizren,"186,375",26-10-2020,33,-2.45,-3.21,0
59,LM GROUP SH.P.K.,LM GROUP,811386805,Tregti e pijeve,Biznes individual,Prishtine,"208,230",26-10-2020,55,-0.3,-1.03,0
60,Villa Galaxy SH.P.K.,Villa Galaxy,811550468,Hotele dhe akomodimi,Biznes individual,Ferizaj,"108,610",23-10-2020,13,-3.54,-3.15,0
61,Sadat Shaqiri B.I.,///,811218305,Tekstil,Biznes individual,Gjilan,"93,450",20-10-2020,15,-2.26,-2.14,0
62,SPORT TEX SH.P.K.,SPORT TEX,811472612,Porodhimi me shumice,Biznes individual,Prishtine,"208,230",23-10-2020,56,-2.45,-3.21,0
63,VENENA J.S.C. SH.A.,///,810803561,Farmaceutike,Biznes individual,Prishtine,"208,230",26-10-2020,5,5.4,5.8,0
64,Royal Burger & More SH.P.K.,Royal Burger & More,811563164,Restaurante dhe aktivitete sherbyese,Biznes individual,Prizren,"186,375",30-10-2020,25,-3.19,-4.74,0
65,Gursel Sherifi B.I.,///,811493030,Agjensite e patundshmerise,Biznes individual,Gjilan,"93,450",23-10-2020,6,-0.67,-0.9,0
66,Fatjone Mani B.I.,Dream Travel,811367938,Transporti ajror,Biznes individual,Prishtine,"208,230",22-10-2020,25,-3.25,-3.95,0
67,Hajriz Selimi B.I.,NT EL TRAVEL,811347659,Transporti urbane,Biznes individual,Kacanik,"34,396",23-10-2020,15,-1.91,-2.12,0
68,Newco FarmakoS--Blue Factory L.L.C.,///,810489634,Farmaceutike,Biznes individual,Prishtine,"208,230",15-09-2020,5,5.6,5.8,0
69,Spark Soccer Agency L.L.C.,Spark Soccer Agency,811385146,Aktivitete sportive,Biznes individual,Prishtine,"208,230",30-10-2020,6,-4.32,-4.1,0
70,FUTURE CEMENT SH.P.K.,FUTURE CEMENT,811507170,Prodhimi i barnave,Biznes individual,Prishtine,"208,230",15-09-2020,42,6.32,6.53,0
71,PANOS HOLDING SH.P.K.,///,811550947,Furre e bukes,Biznes individual,Prishtine,"208,230",26-10-2020,6,2.41,2.78,0
72,FORTUNA Engineering SH.P.K.,///,811505116,Prodhimi i barnave,Biznes individual,Prishtine,"208,230",22-10-2020,30,6.32,6.53,0
73,MD Consulting INT L.L.C.,///,811502659,Aktivitete spitalore,Biznes individual,Prishtine,"208,230",28-10-2020,25,7.8,6.28,0
74,DARDANICUM CASTLE L.L.C.,DARDANICUM CASTLE,811508607,Hotele dhe akomodimi,Biznes individual,Prishtine,"208,230",27-10-2020,7,-4.32,-3.15,0
75,Sports Family Offices SH.P.K.,Sports Family Office,811465328,Aktivitete sportive,Biznes individual,Prishtine,"208,230",10/4/2020,12,-5.2,-4.1,0
76,Rexhep Rexhaj B.I.,PHYSIOTIME,811483065,Aktivitete spitalore,Biznes individual,Decan,"42,070",27-10-2020,31,6.64,6.28,0
77,Litardo SH.P.K.,///,811307405,Porodhimi me shumice,Biznes individual,Prishtine,"208,230",27-10-2020,40,-2.96,-3.21,0
78,Zenel Trashupa,BASHKÃSIA PÃR SIGURIME TRASHUPA B.I.,811222222,Sigurime,Biznes individual,Prishtine,"208,230",22-10-2020,10,-0.1,-0.02,0
79,Zeqa Tours SH.P.K.,Zeqa Tours,811350090,Transporti urbane,Biznes individual,Drenas,"61,801",27-10-2020,13,-1.98,-2.12,0
80,Ardita Ukshini B.I.,///,810082587,Tekstil,Biznes individual,Gjilan,"93,450",15-09-2020,4,-2.05,-2.14,0
81,Abdylfetah Rexhepi B.I.,"N.T.P. "" Adonis """,810279118,Farmaceutike,Biznes individual,Gjilan,"93,450",22-10-2020,5,5.4,5.8,0
82,Patundshmeri LEO AGENCY SH.P.K.,///,811556010,Agjensite e patundshmerise,Biznes individual,Peje,"99,921",15-09-2020,10,-0.8,-0.9,0
83,Purity SH.P.K.,Purity,811471721,Stomatologji,Biznes individual,Prishtine,"208,230",26-10-2020,6,-3.04,-2.98,0
84,Restaurant BLERDI SH.P.K.,///,811557125,Restaurante dhe aktivitete sherbyese,Biznes individual,Podujeve,"94,864",15-09-2020,35,-3.96,-4.74,0
85,Arbnor Behrami B.I.,ILLYRIAN BASKETBOLL,811476375,Aktivitete sportive,Biznes individual,Prishtine,"208,230",23-10-2020,6,-5.32,-4.1,0
86,Bereqeti Group SH.P.K.,///,811554303,Tregti e pijeve,Biznes individual,Gllogoc,"60,970",22-10-2020,43,-1.3,-1.03,0
87,GettFit Gym SH.P.K.,GettFit Gym SHPK,811371476,Palestra e fitnesit,Biznes individual,Prishtine,"208,230",15-09-2020,6,-5.32,-3.5,0
88,Purity SH.P.K.,Purity,811471721,Aktivitete spitalore,Biznes individual,Prishtine,"208,230",30-10-2020,31,5.64,6.28,0
89,Enis Shatri B.I.,"N.SH. "" SHATRI Aviation Consulting """,810942450,Transporti ajror,Biznes individual,Prishtine,"208,230",30-10-2020,22,-3.72,-3.95,0
90,Klubi I Futbollit Ballkani SH.P.K.,FC Ballkani,810079196,Aktivitete sportive,Biznes individual,Suhareke,"63,228",28-10-2020,6,-5.43,-4.1,0
91,Dobruna Dizajn SH.P.K.,///,811420322,Prodhimi i barnave,Biznes individual,Prishtine,"208,230",30-10-2020,42,6.32,6.53,0
92,Agro Mulliri SH.P.K.,///,810792433,Agrikultura,Biznes individual,Viti,"47,681",15-09-2020,8,-0.78,-0.05,0
93,Burger Time & Grill House SH.P.K.,Burger Time & Grill House,811499153,Restaurante dhe aktivitete sherbyese,Biznes individual,Decan,"42,070",27-10-2020,30,-4.86,-4.74,0
94,Gluten Free L.L.C.,Gluten Free,811553694,Furre e bukes,Biznes individual,Prishtine,"208,230",15-09-2020,7,2.89,2.78,0
95,Bora Consulting SH.P.K.,Bora Consulting,811554163,Aktivitete spitalore,Biznes individual,Prishtine,"208,230",28-10-2020,27,5.64,6.28,0
96,HAPPYDAY NG SH.P.K.,HAPPYDAY NG,811373422,Tregti e pijeve,Biznes individual,Ferizaj,"108,610",26-10-2020,39,-1.62,-1.03,0
97,Zeka Group Patundshmeri SH.P.K.,///,811476721,Agjensite e patundshmerise,Biznes individual,Prishtine,"208,230",26-10-2020,9,-0.85,-0.9,0
98,Ujkan Ademi B.I.,Auto Taxi UJKAN ADEMI,811508087,Transporti urbane,Biznes individual,Mitrovice,"75,502",10/4/2020,12,-2.23,-2.12,0
99,Hafije Krasniqi SH.P.K.,Hafije Krasniqi,811315119,Porodhimi me shumice,Biznes individual,Prishtine,"208,230",26-10-2020,33,-4.21,-3.21,0
100,Ardian Fazliu B.I.,"N.T.P. "" MISHTORJA TÃRPEZA """,811103803,Porodhimi me shumice,Biznes individual,Viti,"47,681",22-10-2020,40,-2.48,-3.21,0
101,Almir DÅ¾afce I.B.,ALMIR DÅ½AFÄE I.B.,810123034,Porodhimi me shumice,Biznes individual,Mitrovice,"75,502",27-10-2020,41,-3.04,-3.21,0
102,Nazim Curri B.I.,Auto Taxi Curri,811553917,Transporti urbane,Biznes individual,Prishtine,208230,26-10-2020,20,-2.12,-2.12,0
103,HOTEL GLORIA SH.P.K.,HOTEL GLORIA,811456517,Hotele dhe akomodimi,Biznes individual,Prishtine,"208,230",27-10-2020,13,-3.21,-3.15,0
104,Baresha Music SH.P.K.,Baresha Music,811499228,Marketing,Biznes individual,Suhareke,"63,228",27-10-2020,16,-0.74,-0.72,0
105,Syzana Bunjaku B.I.,///,810082602,Tekstil,Biznes individual,Gjilan,"93,450",10/4/2020,4,-2.05,-2.14,0
106,Vera Med SH.P.K.,///,811475062,Stomatologji,Biznes individual,Prishtine,"208,230",26-10-2020,6,-3.04,-2.98,0
107,SUN LUNCH SH.P.K.,SUN LUNCH,811564766,Restaurante dhe aktivitete sherbyese,Biznes individual,Suhareke,"63,228",28-10-2020,15,-4.89,-4.74,0
108,Restaurant Vata SH.P.K.,Restaurant Vata,811508839,Restaurante dhe aktivitete sherbyese,Biznes individual,Ferizaj,"108,610",23-10-2020,13,-6.24,-4.74,0
109,Dafine Neziri Bajraktari B.I.,Duffys Sweet & Chocolate,811552969,Furre e bukes,Biznes individual,Prishtine,"208,230",26-10-2020,10,3.92,2.78,0
110,HOTEL LEONITI SH.P.K.,///,811282871,Hotele dhe akomodimi,Biznes individual,Istog,"40,728",27-10-2020,9,-3.32,-3.15,0
111,MAJA TAXI SH.P.K.,MAJA TAXI,811506966,Transporti urbane,Biznes individual,Prishtine,"208,230",28-10-2020,10,-2.09,-2.12,0
112,ISEFERI BETON SH.P.K.,ISEFERI BETON,811567512,Prodhimi i barnave,Biznes individual,Suhareke,"63,228",10/4/2020,42,5.77,6.53,0
113,NIZI O.P.,///,811205691,Porodhimi me shumice,Biznes individual,Gjilan,"93,450",15-09-2020,33,-3.02,-3.21,0
114,KT MENAGMENT L.L.C.,///,811455022,Aktivitete sportive,Biznes individual,Malisheve,"62,738",30-10-2020,4,-5.32,-4.1,0
115,Genc Ãetaj B.I.,GENCI TOURS,811498147,Transporti urbane,Biznes individual,Istog,"40,728",28-10-2020,17,-1.98,-2.12,0
116,Rinor Peci B.I.,///,811508417,Transporti urbane,Biznes individual,Mitrovice,"75,502",22-10-2020,10,-2.12,-2.12,0
117,Shqiplajme ch SH.P.K.,Shqiplajme ch,811385039,Agjensione lajmesh,Biznes individual,Viti,"47,681",15-09-2020,20,1.54,1.3,0
118,3EM SH.P.K.,///,811555690,Furre e bukes,Biznes individual,Peje,"99,921",30-10-2020,6,3.58,2.78,0
119,Valdet Avdiu B.I.,N.H.T '' LA SUISS HOTEL'',811435686,Hotele dhe akomodimi,Biznes individual,Fushe Kosove,"38,944",30-10-2020,10,-4.32,-3.15,0
120,Bahrije Ismajli B.I.,///,810050758,Tekstil,Biznes individual,Gjilan,"93,450",23-10-2020,12,-2.26,-2.14,0
121,Baschi & N L.L.C.,Baschi N LLC,811481142,Tregti e pijeve,Biznes individual,Prizren,"186,375",30-10-2020,37,-0.3,-1.03,0
122,BAMBINO GROUP SH.P.K.,BAMBINO GROUP,811497678,Agrikultura,Biznes individual,Gjilan,"93,450",15-09-2020,21,-0.07,-0.05,0
123,NORA 1964 SH.P.K.,NORA 1964,811558660,Furre e bukes,Biznes individual,Peje,"99,921",23-10-2020,5,2.67,2.78,0
124,Kickbox 10 rounds SH.P.K.,///,811470492,Palestra e fitnesit,Biznes individual,Prishtine,"208,230",15-09-2020,6,-5.29,-3.5,0
125,GONA SH.P.K.,///,810129686,Porodhimi me shumice,Biznes individual,Gjilan,"93,450",15-09-2020,24,-3.02,-3.21,0
126,KALIBAR D.O.O.,///,810039041,Aktivitete sportive,Biznes individual,Zvecan,"7,394",30-10-2020,8,-5.34,-4.1,0
127,Agron Ãerkinaj B.I.,FAST FOOD AVIANO,811561994,Sherbime tjera ushqyese,Biznes individual,Peje,"99,921",20-10-2020,14,-1.93,-1.74,0
128,R&G MED SH.P.K.,R&G MED,811502089,Stomatologji,Biznes individual,Prishtine,"24,425",26-10-2020,6,-2.04,-2.98,0
129,888 SH.P.K.,///,810004028,Agrikultura,Biznes individual,Suhareke,"63,228",22-10-2020,16,-0.05,-0.05,0
130,Selim Basholli B.I.,"D.P.Z. "" Mulliri """,811113224,Agrikultura,Biznes individual,Vushtrri,"73,207",26-10-2020,20,-0.4,-0.05,0
131,CENTRO FOOD & DRINK SH.P.K.,CENTRO FOOD & DRINK,811564443,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",28-10-2020,15,-3.75,-4.74,0
132,K.F. FLAMURTARI SH.P.K.,///,810164658,Aktivitete sportive,Biznes individual,Prishtine,"208,230",15-09-2020,8,-5.43,-4.1,0
133,Derin Pano Elektrik Elektronik & Construction L.L.C.,///,811558206,Aktivitete spitalore,Biznes individual,Prishtine,"208,230",23-10-2020,25,7.8,6.28,0
134,ARI'S CAKE SH.P.K.,ARI'S CAKE,811554923,Furre e bukes,Biznes individual,Gllogoc,"60,970",26-10-2020,10,2.7,2.78,0
135,BBSS GmbH SH.P.K.,BBSS GmbH,811384891,Farmaceutike,Biznes individual,Malisheve,"62,738",27-10-2020,4,6,5.8,0
136,AMELA EM SH.P.K.,AMELA EM,811483750,Furre e bukes,Biznes individual,Suhareke,"63,228",27-10-2020,8,2.7,2.78,0
137,Sezin SH.P.K.,///,811453521,Aktivitete spitalore,Biznes individual,Prishtine,"208,230",10/4/2020,12,7.8,6.28,0
138,E K G SH.P.K.,E K G SHPK,811367144,Hotele dhe akomodimi,Biznes individual,Prizren,"186,375",15-09-2020,7,-3.54,-3.15,0
139,FC ISTOGU SH.A.,FC ISTOGU,811368134,Aktivitete sportive,Biznes individual,Istog,"40,728",26-10-2020,8,-5.32,-4.1,0
140,ART & Co SH.P.K.,ART Patundeshmeri,811499632,Agjensite e patundshmerise,Biznes individual,Prishtine,"208,230",26-10-2020,10,-0.67,-0.9,0
141,FURTUNA PRODUKT SH.P.K.,FURTUNA PRODUKT,811388455,Agrikultura,Biznes individual,Fushe Kosove,"38,944",26-10-2020,7,-0.07,-0.05,0
142,Arieta Gashi MuÃ§olli B.I.,Jete,811347873,Porodhimi me shumice,Biznes individual,Prishtine,"208,230",26-10-2020,48,-2.96,-3.21,0
143,Muhamet Azizi B.I.,M ESTATE,811470377,Agjensite e patundshmerise,Biznes individual,Fushe Kosove,"38,944",23-10-2020,9,-0.8,-0.9,0
144,Resmije Doroci B.I.,///,811559296,Sherbime tjera ushqyese,Biznes individual,Mitrovice,"75,502",15-09-2020,118,-2.61,-1.74,0
145,Milazim L. Shala B.I.,Auto Taxi Milazim Shala,811566803,Transporti urbane,Biznes individual,Malisheve,"62,738",15-09-2020,10,-2.23,-2.12,0
146,Ndermarresi Media SH.P.K.,///,811051325,Agjensione lajmesh,Biznes individual,Ferizaj,"108,610",26-10-2020,8,1.32,1.3,0
147,Doku lounge & bar SH.P.K.,Doku bar Doku food and sweets,811567124,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",27-10-2020,35,-5.33,-4.74,0
148,Valmir Mujaj B.I.,PIZZERIA GOLDEN,811498824,Restaurante dhe aktivitete sherbyese,Biznes individual,Kamenice,"36,155",30-10-2020,25,-2.48,-4.74,0
149,SKYLINE AIR L.L.C.,///,811182592,Transporti ajror,Biznes individual,Gjilan,"93,450",28-10-2020,28,-3.72,-3.95,0
150,Doktori Juaj SH.P.K.,Doktori Juaj,811376715,Stomatologji,Biznes individual,Prishtine,"208,230",27-10-2020,5,-2.56,-2.98,0
151,Buffalo Burgers SH.P.K.,Buffalo Burgers,811510610,Furre e bukes,Biznes individual,Prishtine,"208,230",27-10-2020,10,2.41,2.78,0
152,SHKOLLA E MESME E LARTÃ E MJEKÃSISÃ VICIANA MED SH.P.K.,VICIANA MED,811507922,Stomatologji,Biznes individual,Vushtrri,"73,207",26-10-2020,5,-2.04,-2.98,0
153,PFB PREMIUM SH.P.K.,PFB PREMIUM,811458216,Hotele dhe akomodimi,Biznes individual,Gjilan,"93,450",15-09-2020,9,-4.54,-3.15,0
154,Inside Media SH.P.K.,Inside Media,811375915,Agjensione lajmesh,Biznes individual,Prishtine,"208,230",27-10-2020,8,1.54,1.3,0
155,DECO PHARM SH.P.K.,DECO PHARM,811447293,Porodhimi me shumice,Biznes individual,Prishtine,"208,230",26-10-2020,84,-2.96,-3.21,0
156,Ivica RusimoviÄ B.I.,Å ALDARE,811500330,Restaurante dhe aktivitete sherbyese,Biznes individual,Shterpce,"6,763",30-10-2020,25,-2.63,-4.74,0
157,FAST FOOD REFI SH.P.K.,FAST FOOD REFI,811554832,Restaurante dhe aktivitete sherbyese,Biznes individual,Podujeve,"94,864",15-09-2020,35,-3.96,-4.74,0
158,Arben Kasolli B.I.,"N.SH. "" GOALKEEPING ACADEMY """,811268839,Aktivitete sportive,Biznes individual,Prishtine,"208,230",30-10-2020,6,-5.32,-4.1,0
159,Klubi i Futbollit Ferizaj SH.A.,Fc Ferizaj,811340687,Aktivitete sportive,Biznes individual,Ferizaj,"108,610",15-09-2020,4,-5.34,-4.1,0
160,Inquero L.L.C.,///,811503384,Marketing,Biznes individual,Prishtine,"208,230",26-10-2020,16,-0.73,-0.72,0
161,Choco Plus SH.P.K.,Choco Plus SHPK,811506429,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",26-10-2020,20,-2.03,-4.74,0
162,Q.S. DEDA SH.P.K.,///,811234088,Aktivitete sportive,Biznes individual,Kacanik,"34,396",23-10-2020,6,-5.43,-4.1,0
163,FOTODENT X RAY SH.P.K.,///,811460154,Stomatologji,Biznes individual,Mitrovice,"75,502",15-09-2020,10,-3.04,-2.98,0
164,Instituti i sigurimeve sh.a.,Instituti I Sigurimeve SH.A. Insig Dega ne Kosove,810490251,Sigurime,Biznes individual,Prishtine,"208,230",20-10-2020,14,-0.01,-0.02,0
165,MRIZI SH.P.K.,///,811292276,Hotele dhe akomodimi,Biznes individual,Vushtrri,"73,207",10/4/2020,7,-3.32,-3.15,0
166,MULLIRI ARI SH.P.K.,///,810733651,Agrikultura,Biznes individual,Rahovec,"59,308",27-10-2020,20,-0.05,-0.05,0
167,City Doener SH.P.K.,City Doener,811561803,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",15-09-2020,35,-1.62,-4.74,0
168,VICIANA SPORTS CLUB L.L.C.,FC VUSHTRRIA 1922,811344720,Aktivitete sportive,Biznes individual,Vushtrri,"73,207",27-10-2020,6,-4.32,-4.1,0
169,KF Super Besa SH.P.K.,KF Super Besa,811278664,Aktivitete sportive,Biznes individual,Fushe Kosove,"38,944",27-10-2020,8,-4.32,-4.1,0
170,Florentina Karavidaj B.I.,GRITA'S Fast Food,811504209,Restaurante dhe aktivitete sherbyese,Biznes individual,Prizren,"186,375",15-09-2020,10,-2.14,-4.74,0
171,Zaim ThaÃ§i B.I.,Medico Center,811484691,Stomatologji,Biznes individual,Podujeve,"94,864",23-10-2020,10,-3.04,-2.98,0
172,TV Drenica SH.P.K.,Agjensia e Lajmeve Drenica,811390450,Agjensione lajmesh,Biznes individual,Drenas,"61,801",23-10-2020,8,1.6,1.3,0
